id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,24,36,2024,15,7.5,2.12,17,8.5,0.71,22,11.0,4.24,0.72,0.64,0.4,0.42,2.48,204.52
1,10,16,784,9,4.5,2.12,9,4.5,2.12,9,4.5,2.12,0.75,0.66,0.45,0.53,2.86,203.72
2,10,17,680,10,5.0,0.0,10,5.0,0.0,10,5.0,0.0,1.0,1.0,0.47,0.47,0.02,212.3
3,21,31,1870,12,6.0,1.41,14,7.0,2.83,19,9.5,2.12,0.71,0.48,0.47,0.43,0.24,178.61
4,11,23,1800,5,2.5,0.71,5,2.5,0.71,9,4.5,0.71,0.15,0.08,0.58,0.58,8.38,159.86
7,9,13,616,9,4.5,2.12,9,4.5,2.12,9,4.5,2.12,0.9,0.83,0.64,0.55,0.85,196.25
8,14,21,1128,12,6.0,0.0,13,6.5,0.71,14,7.0,1.41,0.75,0.61,0.42,0.42,2.15,196.81
9,11,19,910,8,4.0,0.0,10,5.0,2.83,11,5.5,2.12,0.66,0.55,0.28,0.22,2.2,169.12
10,8,10,506,6,3.0,2.83,7,3.5,2.12,7,3.5,2.12,0.92,0.79,0.42,0.36,0.01,233.94
12,9,11,448,7,3.5,2.12,8,4.0,1.41,8,4.0,1.41,1.0,1.0,0.35,0.34,0.0,203.5
14,11,18,812,10,5.0,1.41,11,5.5,2.12,11,5.5,2.12,0.8,0.7,0.38,0.32,2.08,195.07
15,14,21,1434,8,4.0,1.41,7,3.5,0.71,12,6.0,0.0,0.37,0.24,0.3,0.29,2.3,127.46
16,9,13,524,7,3.5,0.71,8,4.0,1.41,8,4.0,1.41,0.94,0.94,0.35,0.34,0.01,250.83
17,12,16,864,11,5.5,2.12,10,5.0,0.0,12,6.0,1.41,0.58,0.44,0.5,0.48,0.0,168.62
18,16,19,1042,11,5.5,2.12,15,7.5,0.71,12,6.0,2.83,0.4,0.3,0.41,0.34,0.0,102.94
19,11,18,912,10,5.0,1.41,10,5.0,1.41,10,5.0,1.41,0.76,0.62,0.46,0.46,0.03,152.48
20,10,16,662,9,4.5,0.71,10,5.0,1.41,10,5.0,1.41,0.95,0.96,0.18,0.18,0.02,209.67
21,12,14,568,9,4.5,0.71,10,5.0,1.41,10,5.0,1.41,1.0,1.0,0.43,0.42,0.0,218.33
22,6,9,416,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.88,0.8,0.55,0.59,0.36,226.75
24,4,6,244,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,1.0,1.0,0.5,0.49,0.0,220.0
25,8,11,440,7,3.5,2.12,8,4.0,1.41,8,4.0,1.41,1.0,1.0,0.35,0.35,0.04,251.9
26,7,9,348,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.84,0.86,0.58,0.57,0.0,169.29
27,10,16,896,9,4.5,4.95,8,4.0,4.24,9,4.5,4.95,0.84,0.76,0.7,0.69,1.07,212.11
28,6,12,664,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.78,0.69,0.62,0.68,4.29,150.75
31,6,12,656,6,3.0,0.0,6,3.0,0.0,6,3.0,0.0,0.75,0.66,0.75,0.8,7.14,219.33
32,10,13,644,8,4.0,2.83,9,4.5,3.54,8,4.0,2.83,0.9,0.84,0.54,0.52,0.05,197.06
34,13,18,1016,9,4.5,3.54,9,4.5,4.95,12,6.0,2.83,0.5,0.5,0.29,0.28,0.33,161.91
35,10,20,1344,7,3.5,2.12,8,4.0,2.83,10,5.0,1.41,0.44,0.34,0.57,0.56,7.3,195.04
36,8,13,740,5,2.5,0.71,5,2.5,0.71,6,3.0,1.41,0.72,0.64,0.58,0.61,2.07,231.4
38,9,15,824,7,3.5,0.71,7,3.5,0.71,9,4.5,2.12,0.65,0.48,0.5,0.59,0.06,217.17
39,11,18,852,8,4.0,0.0,9,4.5,0.71,10,5.0,0.0,0.85,0.76,0.28,0.28,1.07,217.64
40,11,18,987,9,4.5,0.71,8,4.0,1.41,11,5.5,0.71,0.62,0.66,0.44,0.42,0.06,168.28
41,8,12,616,8,4.0,2.83,7,3.5,2.12,8,4.0,2.83,0.85,0.76,0.45,0.48,0.0,232.5
42,5,6,328,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.8,0.71,0.7,0.72,0.0,226.12
44,10,15,712,8,4.0,1.41,9,4.5,0.71,9,4.5,0.71,0.86,0.77,0.46,0.46,0.0,190.8
47,12,21,916,10,5.0,1.41,12,6.0,0.0,12,6.0,0.0,0.8,0.76,0.38,0.34,3.53,184.83
48,9,12,528,8,4.0,2.83,8,4.0,2.83,8,4.0,2.83,0.94,0.9,0.33,0.36,0.04,222.68
49,10,13,528,9,4.5,3.54,10,5.0,4.24,10,5.0,4.24,1.0,1.0,0.36,0.36,0.04,239.06
50,11,17,1536,9,4.5,0.71,9,4.5,0.71,11,5.5,2.12,0.5,0.32,0.56,0.42,2.22,178.72
